id,session_id,message
1,32877991428219@lid,"{""type"":""human"",""content"":""Selamat malam"",""additional_kwargs"":{},""response_metadata"":{}}"
2,32877991428219@lid,"{""type"":""ai"",""content"":""Selamat malam! Ada yang dapat kami bantu terkait Penerimaan Mahasiswa Baru (PMB) Universitas Lampung? Silakan sampaikan pertanyaan atau informasi yang dibutuhkan."",""tool_calls"":[],""additional_kwargs"":{},""response_metadata"":{},""invalid_tool_calls"":[]}"
3,32877991428219@lid,"{""type"":""human"",""content"":""Saya mau daftar rpl bisa gx bro?"",""additional_kwargs"":{},""response_metadata"":{}}"
4,32877991428219@lid,"{""type"":""ai"",""content"":""Bapak/Ibu, Universitas Lampung membuka pendaftaran jalur Rekognisi Pembelajaran Lampau (RPL) untuk Program Magister (S2). Berikut informasi utama terkait pendaftaran RPL:\n\nSyarat Umum:\n- Memiliki ijazah S-1 dari program studi terakreditasi.\n- Pengalaman kerja min. 5 tahun (linier dengan prodi) atau 7 tahun (tidak linier).\n- Bukti portofolio, surat keterangan kerja, dan referensi (minimal 3 orang).\n\nAlur Pendaftaran:\n1. Pendaftaran online di https://mandiri.unila.ac.id (unduh dan isi Form 01, 02, 03 sesuai prodi).\n2. Dokumen dikirim ke Sekretariat PMB Unila (Gedung Rektorat Lt. 3).\n3. Penilaian portofolio dan wawancara langsung di Unila.\n4. Jika lolos, melakukan registrasi administrasi, keuangan, lalu kuliah.\n\nJadwal 2026:\n- Pendaftaran online: 10–29 Januari 2026\n- Penyusunan & pengiriman portofolio: 12–29 Januari 2026\n- Penilaian & wawancara: 3–4 Februari 2026\n- Pengumuman hasil: 5 Februari 2026\n- Registrasi & pembayaran: 6–12 Februari 2026\n- Awal kuliah: 13 Februari 2026\n\nBiaya:\n- Pendaftaran: Rp 1.000.000,-\n- Biaya rekognisi: Rp 1.000.000,- per SKS yang diakui\n- Uang kuliah sesuai masing-masing prodi\n\nSilakan mengunjungi laman https://mandiri.unila.ac.id untuk pendaftaran dan detail formulir. Apabila membutuhkan konsultasi, dapat menghubungi penanggung jawab RPL di prodi pilihan Bapak/Ibu.\n\nApakah ada hal khusus yang ingin ditanyakan lebih lanjut terkait RPL?"",""tool_calls"":[],""additional_kwargs"":{},""response_metadata"":{},""invalid_tool_calls"":[]}"
5,8950728634433@lid,"{""type"":""human"",""content"":""Hai kak sima"",""additional_kwargs"":{},""response_metadata"":{}}"
6,8950728634433@lid,"{""type"":""ai"",""content"":""Selamat datang di layanan informasi Penerimaan Mahasiswa Baru (PMB) Universitas Lampung. Saya Kak Sima, Asisten Digital PMB Unila. Silakan sampaikan pertanyaan seputar PMB Unila, saya siap membantu Anda."",""tool_calls"":[],""additional_kwargs"":{},""response_metadata"":{},""invalid_tool_calls"":[]}"
7,8950728634433@lid,"{""type"":""human"",""content"":""Informasi mengenai snbp 2026, syaratnya apa saja?"",""additional_kwargs"":{},""response_metadata"":{}}"
8,8950728634433@lid,"{""type"":""ai"",""content"":""Berikut informasi resmi mengenai syarat dan ketentuan Seleksi Nasional Berdasarkan Prestasi (SNBP) tahun 2026 untuk masuk Perguruan Tinggi Negeri, termasuk Universitas Lampung:\n\nSyarat Umum SNBP 2026:\n1. Peserta merupakan siswa SMA/SMK/MA kelas terakhir pada tahun 2026.\n2. Memiliki prestasi akademik unggul.\n3. Sekolah wajib memiliki NPSN (Nomor Pokok Sekolah Nasional).\n4. Sekolah wajib mengisi nilai rapor siswa eligible di PDSS secara lengkap dan benar.\n5. Siswa harus memiliki nilai Tes Kemampuan Akademik (TKA) Kemdikdasmen.\n6. Sekolah dan siswa harus memiliki Akun SNPMB Sekolah dan Akun SNPMB Siswa.\n\nSyarat Khusus:\n- PDSS (Pangkalan Data Sekolah dan Siswa) hanya mengakomodasi kurikulum nasional.\n- Sekolah dengan kurikulum non-nasional tidak dapat mengisi PDSS.\n\nKetentuan Penting:\n- Seleksi didasarkan pada penelusuran prestasi akademik (rapor) serta prestasi akademik dan nonakademik sesuai ketentuan masing-masing PTN.\n- Nilai maksimal 2 mata pelajaran pendukung, portofolio, dan/atau prestasi akan digunakan dengan persentase yang ditentukan PTN (maksimal 50%).\n- Peserta yang lulus SNBP 2026 tidak dapat mendaftar UTBK-SNBT maupun Seleksi Mandiri di PTN mana pun.\n\nJadwal SNBP 2026:\n- Registrasi Akun Siswa: 12 Januari – 18 Februari 2026\n- Pendaftaran SNBP: 3 – 18 Februari 2026\n- Pengumuman Hasil: 31 Maret 2026\n\nJika ada pertanyaan terkait teknis pendaftaran atau detail lain silakan informasikan agar dapat kami bantu selanjutnya."",""tool_calls"":[],""additional_kwargs"":{},""response_metadata"":{},""invalid_tool_calls"":[]}"
9,8950728634433@lid,"{""type"":""human"",""content"":""jika saya sudah lulus snbt tahun 2025, apakah saya boleh daftar snbp 2026?"",""additional_kwargs"":{},""response_metadata"":{}}"
10,8950728634433@lid,"{""type"":""ai"",""content"":""Berdasarkan ketentuan resmi SNPMB 2026, berikut penjelasannya:\n\n- Peserta yang lulus SNBT tahun 2025 (Seleksi Nasional Berdasarkan Tes) berarti sudah menjadi mahasiswa PTN melalui jalur tes tahun sebelumnya.\n- SNBP 2026 (Seleksi Nasional Berdasarkan Prestasi) diperuntukkan bagi siswa kelas terakhir (kelas 12) pada tahun 2026.\n- Ketentuan SNPMB menyatakan, peserta yang sudah dinyatakan lulus di SNBP tidak boleh mengikuti UTBK-SNBT maupun seleksi Mandiri di PTN mana pun pada tahun yang sama. Namun, tentang lulusan SNBT sebelumnya (tahun 2025) mendaftar SNBP tahun 2026, tidak disampaikan secara eksplisit larangan pada dokumen resmi.\n- Prinsip SNPMB adalah adil, menghindari konflik, dan efisien.\n\nNamun, jika Anda telah lulus SNBT 2025 berarti sudah diterima dan terdaftar di PTN, sehingga pada umumnya tidak diperbolehkan untuk kembali mendaftar SNBP tahun berikutnya, kecuali Anda mengundurkan diri dan kembali ke status eligible kelas akhir di tahun berjalan sesuai syarat SNBP.\n\nUntuk kepastian lebih detail terkait kasus khusus seperti ini, kami sarankan menghubungi langsung Tim PMB Unila atau panitia SNPMB nasional karena bisa ada ketentuan lanjutan dari Direktorat Jenderal Pendidikan Tinggi.\n\nApabila ada dokumen, surat keputusan, atau petunjuk teknis baru terkait hal ini di tahun 2026, informasi akan diperbarui sesuai arahan resmi. Terima kasih atas pertanyaan Anda, dan silakan informasikan jika ada hal lain seputar PMB Unila yang ingin ditanyakan."",""tool_calls"":[],""additional_kwargs"":{},""response_metadata"":{},""invalid_tool_calls"":[]}"
